image_name,pressure_reading_1,pressure_reading_2,label
Gimage00.jpg,5.25,5.17,pistachio
Gimage01.jpg,5.32,2.76,pistachio
Gimage02.jpg,4.55,2.64,pistachio
Gimage03.jpg,6.43,6.97,pistachio
Gimage04.jpg,6.59,5.49,pistachio
Gimage05.jpg,5.64,5.95,pistachio
Gimage06.jpg,8.06,6.28,pistachio
Gimage07.jpg,10.66,6.59,pistachio
Gimage08.jpg,6.39,6.37,pistachio
Gimage09.jpg,6.64,6.59,pistachio
Gimage10.jpg,19.43,23.84,pistachio
Gimage11.jpg,12.34,17.22,pistachio
Gimage12.jpg,12.56,11.15,pistachio
Gimage13.jpg,17.72,10.22,pistachio
Gimage14.jpg,14.45,14.56,pistachio
Gimage15.jpg,8.42,4.27,pistachio
Gimage16.jpg,5.84,6.02,pistachio
Gimage17.jpg,6.3,6.27,pistachio
Gimage18.jpg,11.18,9.98,pistachio
Gimage19.jpg,7.79,3.92,pistachio
Gimage20.jpg,7.17,6.21,pistachio
Gimage21.jpg,5.35,5.58,pistachio
Gimage22.jpg,5.37,6.63,pistachio
Gimage23.jpg,6.17,5.42,pistachio
Gimage24.jpg,5.98,5.94,pistachio
Gimage25.jpg,5.27,4.52,pistachio
Gimage26.jpg,13.8,12.68,pistachio
Gimage27.jpg,16.06,11.1,pistachio
Gimage28.jpg,12.71,14.48,pistachio
Gimage29.jpg,12.19,11.49,pistachio
Gimage30.jpg,18.3,10.84,pistachio
Gimage31.jpg,5,4.64,pistachio
Gimage32.jpg,5.65,5.89,pistachio
Gimage33.jpg,7.47,4.75,pistachio
Gimage34.jpg,10.68,11.44,pistachio
Gimage35.jpg,16.33,8.8,pistachio
Gimage36.jpg,13,12.64,pistachio
Gimage37.jpg,6.61,7.55,pistachio
Gimage38.jpg,10.7,12.27,pistachio
Gimage39.jpg,10.01,14.49,pistachio
