image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,weight_reading_1,weight_reading_2,label
Sq4image000.jpg,51.8,69.1,428.9,428.3,506.8,357.8,square_40
Sq4image001.jpg,48.3,69.3,429.7,429.1,508.7,359.8,square_40
Sq4image002.jpg,39.8,80.5,436.8,436.1,515.5,366.4,square_40
Sq4image003.jpg,45.2,64.8,440.5,439.4,519.7,370.4,square_40
Sq4image004.jpg,37.4,50.9,450.7,450.1,529.5,380.6,square_40
Sq4image005.jpg,44.4,70.6,434.5,434,513.8,364.8,square_40
Sq4image006.jpg,54.1,57.2,429.6,428.5,509,359.9,square_40
Sq4image007.jpg,44.5,68.4,424.6,423.7,503.1,354,square_40
Sq4image008.jpg,43.5,57.9,399.6,398.4,476,326.4,square_40
Sq4image009.jpg,37.9,61.1,417.9,416.5,492.9,343.2,square_40
Sq4image010.jpg,40.4,55.6,446.9,445.5,523.1,373.6,square_40
Sq4image011.jpg,48.4,58.9,391.7,390.7,471.5,322.9,square_40
Sq4image012.jpg,47.4,49,389.6,388.6,470.6,321.9,square_40
Sq4image013.jpg,24.7,58.6,404.2,403.5,484.7,477.7,square_40
Sq4image014.jpg,28.3,62.6,404.3,403.5,484.9,336.2,square_40
Sq4image015.jpg,47.8,55.1,392.8,392.4,471.8,323.1,square_40
Sq4image016.jpg,53.2,65.7,423.2,422,500.1,350.7,square_40
Sq4image017.jpg,46.4,65.7,413.3,412.2,488.9,339.3,square_40
Sq4image018.jpg,28.1,54.3,433.2,432.6,515.5,366.6,square_40
Sq4image019.jpg,28.9,53.7,386.3,386,467,318.5,square_40
