image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Gimage00.jpg,68.7,40.3,269.7,290.5,chicken
Gimage01.jpg,65.3,42,298.8,295.3,chicken
Gimage02.jpg,61.7,39.7,285.4,274.4,chicken
Gimage03.jpg,56.5,46.4,287.7,265.2,chicken
Gimage04.jpg,63.6,44,286,247.5,chicken
Gimage05.jpg,41.7,54.7,261.1,220.3,chicken
Gimage06.jpg,54.2,41.5,265.9,243.7,chicken
Gimage07.jpg,55.8,33.1,257.9,254.4,chicken
Gimage08.jpg,55.6,34.2,249.5,253.1,chicken
Gimage09.jpg,54,52.3,234,257.6,chicken
Gimage10.jpg,84.6,9.9,262.7,265.3,chicken
Gimage11.jpg,86.9,21.7,282.8,248,chicken
Gimage12.jpg,63.3,23.2,271.1,227.3,chicken
Gimage13.jpg,36.2,56.1,262.1,211.6,chicken
Gimage14.jpg,47,66,262.2,239.5,chicken
Gimage15.jpg,29.3,88.8,275.2,280,chicken
Gimage16.jpg,40.6,55.9,267.5,303.1,chicken
Gimage17.jpg,50.4,51.1,262.1,283.6,chicken
Gimage18.jpg,51.9,69.5,286.8,286.6,chicken
Gimage19.jpg,54,49.3,277.8,253.2,chicken
Gimage20.jpg,21,68.4,288.5,234.3,chicken
Gimage21.jpg,27.7,87.8,283.1,287.9,chicken
Gimage22.jpg,43.1,73.7,271.1,281.7,chicken
Gimage23.jpg,68.5,66.9,314.5,324.5,chicken
Gimage24.jpg,55.5,59.3,270.5,295.4,chicken
Gimage25.jpg,44.2,74.2,291.7,288.4,chicken
Gimage26.jpg,44.4,61.6,278.5,266.5,chicken
Gimage27.jpg,71.4,58,296.9,255.5,chicken
Gimage28.jpg,56,46.9,290.9,276.2,chicken
Gimage29.jpg,48.7,52.2,274,282.9,chicken
Gimage30.jpg,81.7,17.8,270.8,274,chicken
Gimage31.jpg,81,15.2,309.7,291.2,chicken
Gimage32.jpg,70.7,13.7,292.8,268.3,chicken
Gimage33.jpg,26.2,90.7,283.7,263.9,chicken
Gimage34.jpg,33.6,97.2,296.5,306.8,chicken
Gimage35.jpg,39.9,83.1,268.6,287.1,chicken
Gimage36.jpg,20.2,53.9,272.6,267.5,chicken
Gimage37.jpg,45,33.4,305.9,289.7,chicken
Gimage38.jpg,75.5,14.7,301.7,280.2,chicken
Gimage39.jpg,45.3,49.3,285.5,252.8,chicken
Gimage40.jpg,58.1,33.3,255.8,263.3,chicken
Gimage41.jpg,43.7,77.6,414.2,333,chicken
Gimage42.jpg,38.1,87,347.5,353.8,chicken
Gimage43.jpg,41.7,76.8,361.2,335.5,chicken
Gimage44.jpg,54.9,44.3,287.7,273.6,chicken
Gimage45.jpg,17.2,60,246.8,231.5,chicken
Gimage46.jpg,57.2,71.5,278.2,302,chicken
Gimage47.jpg,33.4,79.4,282.3,273.9,chicken
Gimage48.jpg,36.4,73.8,325.9,332.5,chicken
Gimage49.jpg,42.2,73.4,341.1,321.3,chicken
