image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,weight_reading_1,weight_reading_2,label
Cy6image000.jpg,35.3,80.2,524.5,523.9,601.8,447.9,cylinder_60
Cy6image001.jpg,35.8,75.9,505,504.3,583.6,430.2,cylinder_60
Cy6image002.jpg,29.8,68.4,509.7,509.5,585.6,431.5,cylinder_60
Cy6image003.jpg,33.1,80.3,513.5,512.8,592.1,438.4,cylinder_60
Cy6image004.jpg,37,74.9,493.6,493.3,572.6,419.3,cylinder_60
Cy6image005.jpg,32.6,78.8,518.4,518,596.5,442.5,cylinder_60
Cy6image006.jpg,28.2,64.4,498,497.6,573.7,419.5,cylinder_60
Cy6image007.jpg,33.2,76.6,516.8,516.2,594.9,440.9,cylinder_60
Cy6image008.jpg,34.7,79,513.9,513.3,593.3,439.5,cylinder_60
Cy6image009.jpg,35.9,75.9,499.9,499.6,579.2,426,cylinder_60
Cy6image010.jpg,36.2,73.9,487,486.6,565.9,412.5,cylinder_60
Cy6image011.jpg,34.6,77.8,516.7,516.5,595.1,441.2,cylinder_60
Cy6image012.jpg,30.6,71,513.1,511.7,589.6,435.4,cylinder_60
Cy6image013.jpg,33.9,71.8,502.3,501.8,580.1,425.9,cylinder_60
Cy6image014.jpg,33.5,75.4,512.9,512.3,591.8,437.6,cylinder_60
Cy6image015.jpg,34.2,79.6,514.4,513,593.1,439.2,cylinder_60
Cy6image016.jpg,35.7,74.3,498.2,498.5,577.9,424.3,cylinder_60
Cy6image017.jpg,33.6,77.7,510.2,510,589.7,436.1,cylinder_60
Cy6image018.jpg,33.4,73.4,512.8,511.7,589.9,435.8,cylinder_60
Cy6image019.jpg,30.6,82.9,514.7,513.2,592.9,439.1,cylinder_60
