weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.02,0.01,0.04,0.23
0.01,0.02,0.12,0.26
0.01,0,0.15,0.01
0.01,0,0.17,0.12
0.02,0,0.18,0.18
0.02,0.01,0.19,0.29
0.02,0.01,0.19,0.02
0.01,0.01,0.19,0.11
0,0,0.19,0.18
0.01,0.01,0.19,0.29
0.02,0.01,0.19,0.02
0.02,0,0.19,0.39
0.01,0.01,0.69,0.57
0.01,0.01,0.44,0.16
0.01,0.02,0.31,0.04
0.02,0.02,0.25,0.14
0.01,0.03,0.72,0.19
0.02,0.03,0.46,0.22
0.02,0.04,0.32,0.23
0.03,0.03,0.26,0.24
0.02,0.03,0.22,0.26
0.03,0.03,0.21,0.01
0.04,0.04,0.2,0.12
0.05,0.04,0.19,0.18
0.02,0.04,0.19,0.29
0.53,0.08,0.31,0.52
2.38,0.99,0.56,0.64
4.77,2.75,1.19,1.2
7.15,4.69,2,1.98
9.59,6.69,2.4,2.36
11.98,8.7,3.11,2.56
14.45,12.69,3.96,3.66
16.96,14.81,4.88,4.21
19.4,16.93,5.85,4.98
21.88,19.08,6.83,5.87
24.44,21.21,7.82,6.31
27.3,23.54,9.32,7.03
30.42,26.04,10.06,8.39
33.74,28.74,11.44,9.57
37.18,31.61,12.62,10.16
40.68,34.53,14.22,11.46
44.27,37.51,15.51,12.61
47.72,40.49,17.16,14.18
51.06,46.18,18.49,14.97
54.44,49.05,19.65,16.36
57.76,51.95,21.23,17.56
61.05,54.83,23.02,19.16
64.49,57.85,25.42,20.96
68.25,61.02,27.61,22.35
72.4,64.33,30.21,24.05
76.88,67.94,32.51,25.9
81.44,71.85,34.66,28.33
85.71,75.67,37.24,30.54
89.96,79.26,39.52,32.65
94.14,82.94,42.17,35.2
98.1,89.87,44.49,37.48
102.19,93.46,47.15,39.12
106.14,97.04,50.48,40.94
109.78,100.41,52.65,43.34
113.77,103.96,55.73,45.55
118.19,107.67,58.27,48.65
123.09,111.61,61.04,51.2
128.35,116.05,64.43,54.48
133.52,120.73,68.62,57.12
138.55,125.05,71.21,60.44
143.62,129.39,74.51,63.59
148.5,133.82,77.16,66.67
152.95,138.12,79.99,69.21
157.49,146.19,82.9,71.98
161.98,150.12,86.35,74.87
166.49,154.13,90.08,77.31
171.45,158.5,91.95,80.53
176.34,162.68,94.88,83.14
181.35,166.98,98.84,86.45
186.87,171.81,101.83,90.1
192.76,176.99,103.82,93.43
198.48,182.21,105.81,96.59
203.64,187.09,108.81,99.17
208.56,191.6,109.81,101.96
213.43,196.09,112.31,104.36
218.45,205.05,113.06,107.06
223.48,209.7,113.44,108.91
225.82,211.99,113.62,108.83
225.2,211.48,113.72,109.29
224.37,210.68,113.26,109.52
223.71,210.01,113.54,108.64
223.14,209.44,113.67,108.7
222.6,208.94,113.24,109.23
222.1,208.49,112.53,108.99
221.69,208.05,113.17,107.87
0.01,0,0.23,0.51
0.01,0.01,0.23,0.54
0,0.01,0.23,0.06
0,0.01,0.73,0.18
0,0.01,0.98,0.2
0,0.02,0.61,0.11
0,0,0.92,0.23
0.01,0.01,0.57,0.91
0.01,0.03,0.4,0.74
0.01,0.03,0.82,0.66
0,0.02,1.02,0.62
0.01,0.02,0.63,0.1
0,0.02,0.43,0.16
0.01,0.01,0.33,0.21
0.02,0.01,0.28,0.11
0.01,0.01,0.76,0.24
0.03,0.02,0.99,0.41
0.02,0.03,0.61,0.49
0.02,0.03,0.42,0.54
0.01,0.03,0.33,0.56
0.02,0.05,0.28,0.57
0.02,0.04,0.75,0.57
0.01,0.05,0.49,1.08
0.06,0.05,0.36,0.33
0.95,0.16,0.2,0.05
3.05,1.24,0.99,0.73
5.45,3.06,1.88,1.58
7.85,5.03,1.82,1.5
10.29,7.04,2.8,2.46
12.69,10.99,3.28,2.94
15.05,12.95,4.03,3.18
17.45,14.95,4.9,3.8
19.94,17.08,5.33,4.61
22.46,19.26,6.55,5.52
25.02,21.41,7.16,5.97
27.93,23.77,8.47,7.2
31.17,26.37,9.62,7.81
34.62,29.1,10.69,9.11
38.19,32.02,12.23,10.27
41.79,35.02,14,11.34
45.31,38.02,15.89,12.88
48.69,43.76,17.33,14.15
52.05,46.58,18.55,15.29
55.46,49.54,20.16,16.35
58.83,52.48,21.96,17.89
62.16,55.39,23.37,19.15
65.71,58.38,25.57,20.29
69.7,61.67,28.17,22.35
74.01,65.12,30.47,24.39
78.44,68.82,32.62,25.9
82.75,72.67,34.69,28.66
86.86,76.33,37.23,30.54
90.9,79.89,40,32.98
94.95,83.52,42.39,34.7
98.9,90.56,45.08,36.56
102.93,94.15,47.92,38.99
106.77,97.63,49.35,41.21
110.63,101.07,52.56,43.31
114.76,104.69,55.66,45.87
119.18,108.35,58.72,48.14
124.06,112.31,61.74,51.28
129.01,116.65,65.26,54.35
134,121,67.51,57.39
139.02,125.22,72.14,60.4
144.02,129.57,74.46,63.41
148.91,133.93,77.11,66.42
153.56,141.93,80.44,69.42
158.2,146.05,82.11,71.92
162.78,150.13,84.94,74.67
167.26,154.11,88.35,77.55
172.12,158.34,90.56,79.98
176.84,162.45,93.67,83.2
181.63,166.61,97.72,85.81
187.11,171.31,101.24,89.12
193,176.43,104.51,92.77
198.73,181.58,106.14,96.1
203.94,186.6,107.95,98.76
208.98,191.16,109.86,101.59
213.99,200.43,111.82,104.01
218.98,204.91,112.29,106.71
223.84,209.39,113.03,107.57
225.98,211.64,112.9,108.49
225.34,211.15,112.83,108.46
224.51,210.32,113.3,107.94
223.85,209.61,113.04,107.68
223.26,209.01,112.4,108.05
222.73,208.52,113.09,107.74
222.18,208.11,113.43,107.08
221.65,207.74,113.1,107.25
0.01,0.02,0.4,0.47
0,0.02,0.68,0.34
0.01,0.03,0.82,0.27
0.01,0.05,0.89,0.24
0,0.04,0.92,0.72
0,0.04,0.94,0.46
0.01,0.04,0.95,0.34
0.01,0.03,0.95,0.27
0,0.03,0.96,0.26
0.01,0.04,0.96,0.03
0.01,0.04,0.96,0.09
0.02,0.05,0.96,0.15
0.01,0.03,0.46,0.18
0,0.03,0.71,0.19
0.01,0.04,0.83,0.2
0.02,0.04,0.9,0.2
0,0.05,0.43,0.21
0,0.05,0.69,0.21
0.02,0.04,0.83,0.21
0.01,0.06,0.89,0.21
0.01,0.06,0.92,0.21
0.01,0.05,0.44,0.21
0.02,0.07,0.7,0.21
0.01,0.08,0.33,0.21
0.24,0.03,0.64,0.21
1.64,0.7,0.2,0.21
3.97,2.38,1.12,1.21
6.39,4.37,1.58,2.21
8.88,6.44,1.81,2.71
11.34,8.51,2.43,3.46
13.79,10.51,3.23,3.83
16.26,12.55,4.14,4.52
18.72,14.6,5.09,4.86
21.25,18.89,5.57,6.04
23.85,21.08,6.8,6.62
26.62,23.4,7.42,7.41
29.71,25.97,9.23,8.31
33,28.67,10.64,9.76
36.44,31.56,11.84,10.98
40.01,34.59,12.94,11.59
43.62,37.65,14.49,12.9
47.22,40.69,15.77,14.05
50.74,43.67,17.4,15.13
54.14,46.57,18.72,16.17
57.46,49.45,20.38,17.19
60.76,52.38,22.21,18.7
64.29,58.31,24.13,20.45
68.1,61.51,26.58,21.83
72.23,64.83,28.81,24.02
76.67,68.46,31.93,25.61
81.2,72.45,34.48,27.91
85.52,76.3,36.76,30.06
89.76,79.96,39.9,32.63
94,83.62,42.47,34.92
98.01,87.17,44.26,36.56
102.01,90.57,46.65,38.89
106.05,94.14,48.85,41.55
109.82,97.68,50.94,43.88
113.73,104.9,53.99,45.54
118,108.62,56.52,48.37
122.53,112.45,59.78,51.29
127.41,116.61,63.91,54.25
132.53,121.11,67.48,57.23
137.48,125.45,70.26,60.22
142.35,129.68,73.65,62.71
147.07,133.84,76.35,65.46
151.59,137.91,79.19,68.33
156.16,141.82,82.12,71.27
160.9,145.9,85.08,73.74
165.35,150,87.56,76.47
170,158.05,91.3,78.84
174.82,162.27,93.67,82.02
179.5,166.52,96.86,85.12
184.72,171.17,99.95,88.16
190.74,176.22,102.5,92.18
196.85,181.45,104.77,95.7
202.29,186.47,106.91,98.95
207.35,191.22,108.47,101.58
212.48,195.95,110.26,104.39
217.42,200.4,112.15,106.8
222.54,204.93,113.6,108
225.85,209.45,113.82,108.11
225.76,211.32,113.93,108.66
224.93,210.4,113.99,108.43
224.24,209.68,113.01,108.82
223.64,209.06,113.03,108.01
223.07,208.55,112.54,108.61
222.55,208.09,112.79,108.41
222.06,207.65,112.92,108.31
