weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.01,0,0.23,0.51
0.01,0.01,0.23,0.54
0,0.01,0.23,0.06
0,0.01,0.73,0.18
0,0.01,0.98,0.2
0,0.02,0.61,0.11
0,0,0.92,0.23
0.01,0.01,0.57,0.91
0.01,0.03,0.4,0.74
0.01,0.03,0.82,0.66
0,0.02,1.02,0.62
0.01,0.02,0.63,0.1
0,0.02,0.43,0.16
0.01,0.01,0.33,0.21
0.02,0.01,0.28,0.11
0.01,0.01,0.76,0.24
0.03,0.02,0.99,0.41
0.02,0.03,0.61,0.49
0.02,0.03,0.42,0.54
0.01,0.03,0.33,0.56
0.02,0.05,0.28,0.57
0.02,0.04,0.75,0.57
0.01,0.05,0.49,1.08
0.06,0.05,0.36,0.33
0.95,0.16,0.2,0.05
3.05,1.24,0.99,0.73
5.45,3.06,1.88,1.58
7.85,5.03,1.82,1.5
10.29,7.04,2.8,2.46
12.69,10.99,3.28,2.94
15.05,12.95,4.03,3.18
17.45,14.95,4.9,3.8
19.94,17.08,5.33,4.61
22.46,19.26,6.55,5.52
25.02,21.41,7.16,5.97
27.93,23.77,8.47,7.2
31.17,26.37,9.62,7.81
34.62,29.1,10.69,9.11
38.19,32.02,12.23,10.27
41.79,35.02,14,11.34
45.31,38.02,15.89,12.88
48.69,43.76,17.33,14.15
52.05,46.58,18.55,15.29
55.46,49.54,20.16,16.35
58.83,52.48,21.96,17.89
62.16,55.39,23.37,19.15
65.71,58.38,25.57,20.29
69.7,61.67,28.17,22.35
74.01,65.12,30.47,24.39
78.44,68.82,32.62,25.9
82.75,72.67,34.69,28.66
86.86,76.33,37.23,30.54
90.9,79.89,40,32.98
94.95,83.52,42.39,34.7
98.9,90.56,45.08,36.56
102.93,94.15,47.92,38.99
106.77,97.63,49.35,41.21
110.63,101.07,52.56,43.31
114.76,104.69,55.66,45.87
119.18,108.35,58.72,48.14
124.06,112.31,61.74,51.28
129.01,116.65,65.26,54.35
134,121,67.51,57.39
139.02,125.22,72.14,60.4
144.02,129.57,74.46,63.41
148.91,133.93,77.11,66.42
153.56,141.93,80.44,69.42
158.2,146.05,82.11,71.92
162.78,150.13,84.94,74.67
167.26,154.11,88.35,77.55
172.12,158.34,90.56,79.98
176.84,162.45,93.67,83.2
181.63,166.61,97.72,85.81
187.11,171.31,101.24,89.12
193,176.43,104.51,92.77
198.73,181.58,106.14,96.1
203.94,186.6,107.95,98.76
208.98,191.16,109.86,101.59
213.99,200.43,111.82,104.01
218.98,204.91,112.29,106.71
223.84,209.39,113.03,107.57
225.98,211.64,112.9,108.49
225.34,211.15,112.83,108.46
224.51,210.32,113.3,107.94
223.85,209.61,113.04,107.68
223.26,209.01,112.4,108.05
222.73,208.52,113.09,107.74
222.18,208.11,113.43,107.08
221.65,207.74,113.1,107.25
