weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.02,0.03,0.04,0.14
0.01,0.03,0.04,0.35
0.02,0.02,0.03,0.6
0.01,0.01,0.03,0.72
0.01,0,0.53,0.29
0,0.01,0.78,0.57
0,0,0.41,0.71
0,0.01,0.22,0.28
0.01,0.02,0.12,0.06
0.02,0.04,0.08,0.45
0.03,0.02,0.55,0.65
0.01,0,0.79,0.75
0.01,0,0.41,0.8
0,0.01,0.22,0.82
0.02,0.01,0.13,0.84
0.04,0.01,0.08,0.84
0.03,0.02,0.55,0.34
0.02,0.01,0.79,0.1
0,0.01,0.41,0.47
0.02,0.02,0.22,0.66
0.03,0.02,0.63,0.25
0.04,0.01,0.83,0.05
0.02,0,0.43,0.45
0.01,0.01,0.73,0.65
0.02,0,0.38,0.75
0.02,0.01,0.71,0.8
0.01,0.01,0.87,0.82
0.02,0,0.45,0.83
0.01,0,0.24,0.34
0.01,0.01,0.64,0.09
0.01,0.01,0.83,0.03
0.01,0,0.43,0.09
0.01,0.01,0.73,0.12
0,0,0.88,0.36
0,0.01,0.96,0.61
0.02,0.02,0.49,0.23
0.03,0.01,0.26,0.54
0.03,0.01,0.65,0.69
0.02,0,0.84,0.27
0,0.01,0.44,0.06
0.01,0.01,0.73,0.05
0.01,0.02,0.88,0.1
0,0.01,0.96,0.37
0.01,0.01,0.99,0.61
0.02,0.01,0.51,0.23
0.02,0.01,0.27,0.04
0.02,0.02,0.65,0.06
0.01,0,0.34,0.1
0.02,0.01,0.19,0.37
0.02,0,0.61,0.11
0.01,0,0.82,0.02
0.24,0.02,0.43,0.59
1.31,0.46,0.27,0.13
3.38,2.04,0.62,0.51
5.81,4.31,0.79,1.33
8.35,6.6,1.38,1.74
10.96,8.97,2.18,1.95
13.46,11.42,2.57,2.55
15.99,13.89,3.27,3.35
18.74,95.24,3.62,4.25
21.73,1802.03,4.29,4.7
24.97,24.66,5.13,5.43
28.29,27.79,6.05,6.29
31.45,30.82,7.01,7.22
34.47,33.69,7.99,7.69
37.54,36.64,8.98,8.42
40.49,39.56,9.97,9.29
43.35,42.28,10.47,10.22
46.24,45.01,11.22,11.19
48.99,47.86,12.59,12.17
51.68,50.64,13.28,13.66
54.53,53.56,14.13,14.91
57.49,59.36,15.55,16.03
60.59,62.49,16.26,17.59
64,65.87,17.61,18.37
67.45,69.25,18.79,19.76
70.81,72.54,19.88,20.96
73.91,75.66,21.42,22.56
76.88,78.59,22.2,23.35
79.83,81.48,23.08,24.75
82.8,84.29,24.53,26.45
85.63,87.26,25.25,26.8
86.73,89.56,25.61,26.98
86.4,89.84,25.79,27.07
86.04,89.01,25.38,27.11
85.75,88.71,25.67,26.63
85.49,88.45,25.82,26.89
85.27,88.19,25.9,26.52
85.08,87.98,25.43,26.34
84.9,87.82,25.2,26.74
0.01,0.01,0.41,0.2
0,0,0.1,0.48
0.01,0,0.06,0.62
0,0,0.13,0.69
0,0,0.17,0.72
0.01,0.01,0.31,0.74
0,0.01,0.55,0.25
0,0.01,0.17,0.51
0.01,0,0.48,0.63
0.02,0,0.13,0.7
0,0,0.04,0.73
0,0.01,0.38,0.74
0.01,0.01,0.08,0.25
0.01,0.01,0.44,0.51
0,0,0.61,0.63
0,0,0.2,0.7
0,0.02,0.01,0.73
0,0,0.39,0.74
0.01,0.01,0.09,0.75
0,0.01,0.06,0.76
0,0.01,0.36,0.76
0,0.01,0.58,0.26
0.01,0.01,0.68,0.51
0,0.02,0.74,0.13
0.01,0.01,0.76,0.05
0.01,0.01,0.78,0.35
0.01,0.01,0.78,0.06
0.01,0,0.79,0.41
0,0,0.79,0.58
0.01,0.02,0.79,0.67
0,0,0.79,0.72
0,0,0.79,0.74
0.01,0.01,0.79,0.75
0,0.02,0.79,0.75
0.02,0.01,0.79,0.26
0,0.01,0.79,0.51
0,0.01,0.29,0.13
0.01,0.01,0.04,0.45
0,0.03,0.09,0.6
0,0.03,0.15,0.68
0,0.01,0.32,0.22
0.02,0,0.05,0.49
0.01,0.01,0.08,0.12
0.01,0.01,0.36,0.44
0.01,0,0.57,0.1
0.01,0.01,0.68,0.43
0.01,0.01,0.73,0.09
0.01,0.01,0.76,0.07
0.02,0.01,0.78,0.16
0.01,0.02,0.28,0.2
0.01,0,0.04,0.28
0.16,0,0.09,0.02
1.09,0.1,0.15,0.61
2.91,1,0.18,0.93
5.27,5.15,1.2,1.58
7.78,7.42,1.7,1.91
10.41,9.82,1.96,2.58
12.99,12.37,3.08,2.91
15.52,14.86,3.15,3.57
18.22,17.44,3.68,4.41
21.06,20.02,4.45,5.32
24.14,22.68,5.33,5.28
27.4,25.62,6.27,5.76
30.63,28.74,7.24,7
33.73,31.79,8.23,8.12
36.86,34.76,9.22,9.18
40.03,37.84,9.71,9.71
42.95,43.73,10.46,10.98
45.73,46.71,10.84,11.61
48.5,49.57,11.52,12.42
51.15,52.34,12.87,13.83
53.94,55.28,14.04,14.54
56.87,58.09,15.13,15.89
59.88,60.85,16.17,17.56
63.26,63.97,17.69,18.9
66.85,67.3,18.95,19.57
70.32,70.63,20.58,20.91
73.5,73.87,21.9,22.07
76.44,76.85,23.05,23.66
79.42,82.63,24.13,24.95
82.28,85.4,24.67,26.09
