image_name,pressure_reading_1,pressure_reading_2,label
Gimage00.jpg,60.63,35.66,egg
Gimage01.jpg,35.51,52.82,egg
Gimage02.jpg,33.54,44.71,egg
Gimage03.jpg,21.66,65.66,egg
Gimage04.jpg,10.76,40.44,egg
Gimage05.jpg,11.74,32.25,egg
Gimage06.jpg,23.18,42.29,egg
Gimage07.jpg,19.47,25.29,egg
Gimage08.jpg,26.59,45.57,egg
Gimage09.jpg,5.79,16.71,egg
Gimage10.jpg,4.25,13.83,egg
Gimage11.jpg,9.11,11.98,egg
Gimage12.jpg,20.67,33.65,egg
Gimage13.jpg,20.99,32.63,egg
Gimage14.jpg,32.82,39.65,egg
Gimage15.jpg,22.55,52.13,egg
Gimage16.jpg,64.46,44.04,egg
Gimage17.jpg,74.87,82.39,egg
Gimage18.jpg,53.6,65.7,egg
Gimage19.jpg,18.62,94.9,egg
Gimage20.jpg,16.54,65.18,egg
Gimage21.jpg,13.53,55.57,egg
Gimage22.jpg,2.56,2.11,egg
Gimage23.jpg,15.11,22.87,egg
Gimage24.jpg,10.24,17.85,egg
Gimage25.jpg,40.79,31.29,egg
Gimage26.jpg,16.23,32.89,egg
Gimage27.jpg,44.73,38.95,egg
Gimage28.jpg,19.71,19.45,egg
Gimage29.jpg,16.5,25.53,egg
Gimage30.jpg,12.95,17.02,egg
Gimage31.jpg,14.42,21.63,egg
Gimage32.jpg,12.63,29.03,egg
Gimage33.jpg,30.2,30.08,egg
Gimage34.jpg,18.69,56.08,egg
Gimage35.jpg,18.78,25.79,egg
Gimage36.jpg,34.62,28.11,egg
Gimage37.jpg,39.69,27.26,egg
Gimage38.jpg,16.5,35.02,egg
Gimage39.jpg,14.22,35.49,egg
