image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y
Gimage00.jpg,8.939659001088708,6.885999605920901,102.16072709414676,110.86115624091325,9,0.14955547,0.36253724,0.49207464,0.15033017,0.8535851,0.31772843,0.8743371,0.6610485,0.5343477,0.8528316,0.16925229,0.7045585,0.46438852,0.24047574,0.4609453,0.3817619,0.46177068,0.51342636,0.47618675,0.6411723,0.49748054,0.7716525,0.56210876,0.782044,0.5648148,0.6456353,0.56557906,0.51905906,0.5506138,0.38923103,0.529218,0.25014675
Gimage01.jpg,9.61801213943686,8.176119394715018,120.91689327873006,117.22120192580779,9,0.09942061,0.38126644,0.4449287,0.15959686,0.7887468,0.32427332,0.7938314,0.6907379,0.46168843,0.88797194,0.101963006,0.73424536,0.41516072,0.25179154,0.40797734,0.39889717,0.4047309,0.5370148,0.41439134,0.67003983,0.42934364,0.8040936,0.4916954,0.8137337,0.49864474,0.6724158,0.503857,0.54026455,0.4944517,0.40507835,0.47931522,0.25955132
Gimage02.jpg,9.83143690140404,9.61278916872571,119.40200713202971,122.21899024748221,9,0.1734452,0.337153,0.5205233,0.1208671,0.8653307,0.30797774,0.8536148,0.6740096,0.51495403,0.86007273,0.16861412,0.69561,0.48840985,0.21656694,0.47615457,0.3651462,0.4688267,0.5021873,0.47466904,0.6351444,0.48674893,0.7703269,0.54533964,0.7851126,0.55737704,0.6425989,0.5666214,0.5101733,0.5611924,0.3749885,0.55023867,0.22753492
Gimage03.jpg,8.355351091441404,9.250082670908279,124.00011029481831,123.87339115929925,9,0.12609048,0.36168596,0.46816602,0.14682423,0.81798726,0.30997625,0.81756896,0.6735223,0.4749384,0.86079186,0.12560318,0.7113932,0.43677634,0.23499033,0.4282853,0.37939733,0.42317334,0.5161422,0.43038458,0.6476547,0.4426785,0.7795285,0.5068532,0.7880575,0.51538587,0.6502876,0.5219122,0.5195328,0.51444834,0.38554054,0.50201833,0.24350122
Gimage04.jpg,4.829303897340499,3.7862797853441332,113.69707157082085,107.65549562607019,9,0.14431563,0.34349093,0.48762283,0.14585716,0.8216812,0.3060741,0.8243612,0.66513133,0.48577675,0.8372026,0.14395592,0.6854695,0.4566359,0.22672631,0.44757524,0.36814788,0.44092387,0.50065655,0.44652024,0.6296423,0.45685744,0.7609485,0.5185154,0.77079993,0.52865374,0.63497293,0.53599703,0.5078508,0.5298209,0.37792158,0.5193428,0.23889355
Gimage05.jpg,6.5293875134643224,3.660727688705588,119.68405645951398,114.79638300824334,9,0.13202551,0.31863552,0.48240876,0.11584916,0.85624856,0.2889619,0.86647207,0.6514779,0.51099694,0.84372705,0.14561258,0.6799659,0.45304114,0.2024119,0.44759974,0.34879267,0.44549018,0.48647982,0.4576397,0.6199691,0.4760353,0.7567199,0.54130757,0.76923394,0.54615605,0.6267545,0.54896605,0.4938289,0.5365635,0.357451,0.5182296,0.21192421
Gimage06.jpg,26.516682195117877,25.036208498248676,142.9555018098919,142.75824729933376,9,0.16055503,0.37216848,0.52626216,0.17007516,0.885166,0.3603762,0.883118,0.7009074,0.5275763,0.894029,0.1625332,0.7233158,0.4914089,0.26691756,0.47696894,0.40920475,0.46914226,0.5381044,0.47781292,0.6649103,0.4945186,0.798769,0.5588156,0.8117673,0.5703977,0.6733688,0.5787333,0.54673797,0.5710465,0.41810197,0.55672795,0.27860764
Gimage07.jpg,18.69246469345898,9.093745974860903,140.78921960476217,138.85388416637912,9,0.11939118,0.33321413,0.4689185,0.13173166,0.82993805,0.33892983,0.8302277,0.6893822,0.48507452,0.8855702,0.12651917,0.6983331,0.43691683,0.23290028,0.42591494,0.38069424,0.42057458,0.5157589,0.43107,0.6483803,0.44982544,0.7876829,0.5150869,0.8023308,0.5246025,0.6581376,0.5301572,0.5265423,0.5200866,0.39268383,0.5022607,0.2466816
Gimage08.jpg,30.893205676565277,27.272488533912465,152.11513161430764,153.94008161420447,9,0.11575033,0.3659376,0.44904882,0.14531422,0.8074028,0.32154843,0.82043153,0.66387135,0.48105437,0.87153506,0.13795678,0.7118458,0.4208663,0.24352738,0.4147142,0.3883156,0.41274586,0.51927763,0.42610893,0.64728826,0.44698638,0.7815836,0.50823694,0.7900217,0.5146419,0.6505161,0.51706755,0.52269113,0.50392044,0.39385566,0.48406228,0.2536585
Gimage09.jpg,31.33931985128821,24.53851327094547,150.9620416727691,159.59464091934885,9,0.15662204,0.32856032,0.5039072,0.08724145,0.8483971,0.254469,0.85760915,0.6090672,0.526194,0.8319039,0.16991636,0.6739156,0.47500855,0.188583,0.4655304,0.33624566,0.462041,0.47125846,0.47315413,0.6008701,0.49238,0.7358726,0.5559221,0.7468552,0.5639221,0.6032704,0.5682796,0.47359106,0.55684274,0.34118882,0.53719777,0.1979607
