image_name,pressure_reading_1,pressure_reading_2,label
Gimage00.jpg,68.43,76.2,square_60
Gimage01.jpg,72.02,79.34,square_60
Gimage02.jpg,65.83,75.26,square_60
Gimage03.jpg,63.0,64.51,square_60
Gimage04.jpg,59.23,63.55,square_60
Gimage05.jpg,47.84,50.65,square_60
Gimage06.jpg,38.64,28.73,square_60
Gimage07.jpg,35.03,65.07,square_60
Gimage08.jpg,30.5,69.99,square_60
Gimage09.jpg,26.33,65.67,square_60
Gimage10.jpg,32.95,66.7,square_60
Gimage11.jpg,30.46,61.68,square_60
Gimage12.jpg,23.97,51.96,square_60
Gimage13.jpg,34.12,15.37,square_60
Gimage14.jpg,40.21,78.41,square_60
Gimage15.jpg,49.89,33.11,square_60
Gimage16.jpg,49.56,37.84,square_60
Gimage17.jpg,49.93,48.66,square_60
Gimage18.jpg,45.19,50.89,square_60
Gimage19.jpg,72.18,69.61,square_60
Gimage20.jpg,55.2,51.36,square_60
Gimage21.jpg,48.72,65.9,square_60
Gimage22.jpg,28.92,70.19,square_60
Gimage23.jpg,74.6,35.81,square_60
Gimage24.jpg,55.54,64.62,square_60
Gimage25.jpg,32.68,72.09,square_60
Gimage26.jpg,31.77,35.88,square_60
Gimage27.jpg,34.24,39.82,square_60
Gimage28.jpg,49.25,42.7,square_60
Gimage29.jpg,47.41,55.47,square_60
Gimage30.jpg,41.33,65.94,square_60
Gimage31.jpg,34.91,34.41,square_60
Gimage32.jpg,18.43,43.12,square_60
Gimage33.jpg,31.84,40.09,square_60
Gimage34.jpg,44.3,65.46,square_60
Gimage35.jpg,61.71,40.82,square_60
Gimage36.jpg,23.97,51.72,square_60
Gimage37.jpg,34.86,64.0,square_60
Gimage38.jpg,28.81,56.61,square_60
Gimage39.jpg,42.28,55.69,square_60
Gimage40.jpg,15.51,41.28,square_60
Gimage41.jpg,26.87,28.23,square_60
