[0.014088269000754078, 0.006188017026896009]
[0.01332833020602662, 0.004051091910703287]
[0.013092805516893107, 0.0037376665807080287]
[0.010949189906101007, 0.004143743997497542]
[0.008383936687921771, 0.005807278630668381]
[0.009318197089670237, 0.00506155633650239]
[0.014570721134863282, 0.009937291395950093]
[0.009989703716917256, 0.006214282085030738]
[0.010208607016103734, 0.003796367795501624]
[0.010852043330937453, 0.00322270630964387]
[0.00998887502247059, 0.007911955029950662]
[0.009918266077975397, 0.006527651651078514]
[0.008623037994953998, 0.005018024734627354]
[0.008221743111034286, 0.00613261520210142]
[0.01153536463501577, 0.0047658035429968635]
[0.008463859233937903, 0.005416616436366234]
[0.009213977596372908, 0.006333068030743301]
[0.00892631945937232, 0.007957901913296431]
[0.011004942099812787, 0.004227254740355932]
[0.009542855336279452, 0.00928297239786257]
[0.00828341894754201, 0.01017367057693888]
[0.01078383165285296, 0.0034904618724699906]
[0.009266472878745468, 0.005057084608707505]
[0.01119875996394565, 0.005393438930143578]
[0.008597523605088768, 0.0067467993044454605]
[0.008446187310707698, 0.007413525466140832]
[0.00853021212963284, 0.004936743515590202]
[0.008142212388880384, 0.0033526390632689675]
[0.006417177347324422, 0.0034661917010882885]
[0.010228738726011601, 0.0037530612307883036]
[0.008263903067012097, 0.00486627519250207]
[0.00932067743022309, 0.0058908893912616705]
[0.008783344791741187, 0.004400510700351338]
[0.009142209379331034, 0.005026826075060526]
[0.008984641173773962, 0.0078036033308495414]
[0.011327545478817324, 0.003828138910045507]
[0.005897455343386826, 0.0046972301960521035]
[0.006760552742925774, 0.006935194609720419]
[0.010144669839589083, 0.011946816447080068]
[0.009719451016430994, 0.004666660600634646]
[0.008318503034212192, 0.0051782021132760325]
