[0.05811107772224897, 0.03608484874897376]
[0.0456506281480687, 0.05693238914927852]
[0.05407507393111838, 0.030463850833138385]
[0.046214987409542954, 0.03208560091536124]
[0.04962745193205649, 0.035902791256922625]
[0.04282445726074009, 0.032769047009433096]
[0.03651254140607778, 0.01929034338168219]
[0.03725721234034813, 0.026064578695989903]
[0.0389933058309508, 0.01679485480353806]
[0.03480390285209145, 0.03434794566148828]
[0.03319857728730091, 0.021344126629390465]
[0.027975201955269095, 0.021728493762101196]
[0.025748913117980613, 0.028991965925162812]
[0.02753405959388582, 0.015013794358420558]
[0.02101968537676733, 0.022416815235270268]
[0.026204139570644037, 0.020648936898145665]
[0.024270379654735486, 0.009823026508789356]
[0.024787938918259273, 0.016492509088837738]
[0.019449022865258337, 0.01996166429958192]
[0.02319005840173068, 0.012574930976459241]
[0.02329356953230698, 0.020124151717985705]
[0.0197518005051553, 0.01101669392468268]
[0.01803262694970368, 0.008289001590795465]
[0.019276983983636357, 0.014581367768581759]
[0.022494774862477286, 0.011693397403663094]
[0.01861835659758205, 0.010721669856739079]
[0.017136280069600975, 0.0076917502641111165]
[0.02016277910236025, 0.01125228868355278]
[0.019448104081785114, 0.009907008549963497]
[0.01890811670295812, 0.007553182432632902]
[0.017975763519415225, 0.008372928975215512]
[0.017608136174133933, 0.008617978736104098]
[0.018390891253972193, 0.012104098803479174]
[0.018688695988801254, 0.01172476816240743]
[0.014756607675180635, 0.010469404039145487]
[0.015018116844495633, 0.008907478018984345]
[0.016876940867521444, 0.009353759383847273]
[0.016162602777905443, 0.010070442973818174]
[0.017091882750160287, 0.009577677617977443]
[0.01945939241713334, 0.006671885036345028]
[0.018354301426146816, 0.012461385686345616]
[0.016478390877377524, 0.006680095826549826]
[0.01755470553265822, 0.009516270430337703]
[0.014871859407146568, 0.00788087468400584]
[0.01704399015802162, 0.00538603003467556]
[0.01589862050240086, 0.007764144972157093]
[0.016726677142070843, 0.008740887332555913]
[0.0166003768636266, 0.007050593903410002]
[0.014880263165532301, 0.007064260060328065]
[0.014755773886727004, 0.006902881406377565]
[0.012769712808878024, 0.006640777155210527]
[0.01981398688381306, 0.007613420752151488]
[0.015598412427744554, 0.009991844436979112]
[0.016525463301628802, 0.01023645681398914]
[0.014719362323590602, 0.007693774584475794]
[0.011594986186978145, 0.0056321356254598835]
[0.015543409681942816, 0.0070070338760396395]
[0.01648670778506718, 0.0065514820139838115]
[0.017729685997395113, 0.006122878068176274]
[0.013802769404790156, 0.008128902401180308]
[0.016259531458803593, 0.012818939203454366]
[0.017021185013882043, 0.009624683426648047]
[0.013949386656757615, 0.007266248505809432]
[0.013055163384429337, 0.006042491433390678]
[0.012939570583671076, 0.006257121925646524]
[0.015569258271438409, 0.0070495346479933435]
[0.01193779454367458, 0.005983347294059228]
[0.013659406052515966, 0.009177546606412219]
[0.01654519559972851, 0.006640044802582099]
[0.014054229086449432, 0.007129064467554486]
[0.012650969399841547, 0.008565357792991685]
[0.012538816746898808, 0.009065422769650087]
[0.012169624718637405, 0.006934791587143684]
[0.015159748986956552, 0.009830776769630512]
[0.01503850067640688, 0.008416558940990474]
[0.012355746384553092, 0.007351916721547469]
[0.012132871749128133, 0.007030386768033598]
[0.015762937304005374, 0.005490085379441352]
[0.013604607453588083, 0.006144542430421244]
[0.009887837578701606, 0.006764515223947096]
[0.011886837995096504, 0.005391047179926576]
[0.013485293047388016, 0.00881034432725156]
[0.012164429849726783, 0.00904234956657358]
[0.014947658237120773, 0.005789212337510156]
[0.014196606817672586, 0.00756945647990568]
[0.013900311080005445, 0.00781981681013771]
[0.012343080298478444, 0.0069960917397520715]
[0.016255584605759092, 0.007793055828950844]
[0.011842495599969024, 0.00491107788593818]
[0.01257609356713979, 0.005269990469921743]
[0.012585073331515277, 0.006385361748084928]
[0.01265638326687675, 0.014420537487606452]
[0.014156422187032478, 0.018737501147887817]
[0.013177719059921484, 0.005531053727790154]
[0.011694882961525658, 0.007384668055241322]
[0.009924651007232811, 0.005117745986825999]
[0.014418777802519132, 0.0057802097550154205]
[0.013463949405654064, 0.006664863813493231]
[0.013068742835720239, 0.005982276436261862]
[0.010879738228323717, 0.01429120668085143]
[0.012510471304988344, 0.004953692487361098]
[0.011881686542378214, 0.0043440100532578015]
[0.01080326070360479, 0.00770701036376752]
[0.011258582138882756, 0.008277081692790692]
[0.009876148067823207, 0.005120766953809117]
[0.01347746792383871, 0.010194938233759599]
[0.011398849213681908, 0.00658681602490126]
[0.011586335963517993, 0.004396694651065684]
[0.010098726280533994, 0.006438359106315627]
[0.012735847577182277, 0.0077604374966099565]
[0.0123564932059407, 0.005419975256566945]
[0.010223269258056706, 0.006941656109302526]
[0.009969537295734562, 0.005904471015020746]
[0.010586253883223692, 0.006317648330683288]
[0.010343740849209035, 0.00752739448293093]
[0.01018475811466841, 0.0051384224818838]
[0.010075741599540378, 0.005791450683298387]
[0.010021197523450466, 0.005990291029175927]
[0.010099417461408472, 0.009116897402112982]
[0.01102214219394533, 0.005697301416109244]
[0.011477889054544133, 0.006219313045241498]
[0.010139726881060369, 0.006679990425192049]
[0.012144119158393515, 0.007876503054704238]
[0.011055921720015294, 0.004171183522753542]
[0.012272901252085031, 0.006459935991450566]
[0.010990558735064632, 0.00913620185418608]
[0.0109255188973477, 0.005914472590166251]
[0.01111300538711904, 0.009245954702305397]
[0.009247368638902116, 0.00988999184880166]
[0.010924962357407567, 0.0054912764808440805]
[0.009436614713061571, 0.006210330769834696]
[0.010216507512396897, 0.008562356862873988]
[0.011410819436699735, 0.0059988823539601065]
[0.008985246254243125, 0.0077822026756648715]
[0.01339428738505754, 0.005570283972378546]
[0.009460401015597886, 0.00893269171462296]
[0.010922590472399674, 0.0065618951657028845]
