image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,weight_reading_1,weight_reading_2,label
Cy2image000.jpg,69.4,68.3,295.3,295,364.8,230.7,cylinder_20
Cy2image001.jpg,51.9,63.8,280.6,279.9,351,216.5,cylinder_20
Cy2image002.jpg,53.8,64.8,281.6,281,355.4,221.2,cylinder_20
Cy2image003.jpg,50.7,61.6,271.2,270.8,343,208.9,cylinder_20
Cy2image004.jpg,54.3,64.6,278.8,278.3,353.4,219.1,cylinder_20
Cy2image005.jpg,58.5,66.1,288.1,287.2,355.3,220.5,cylinder_20
Cy2image006.jpg,61.4,68.2,290.8,289.6,358.7,223.8,cylinder_20
Cy2image007.jpg,55.7,65.1,282,281.3,350.9,216.1,cylinder_20
Cy2image008.jpg,64.6,71.9,292.1,291.4,362.3,227.8,cylinder_20
Cy2image009.jpg,58.7,65.1,284.6,283.9,358.5,224.2,cylinder_20
Cy2image010.jpg,52.9,65.3,273.5,273.1,348.8,214.7,cylinder_20
Cy2image011.jpg,61.9,72.9,291.4,290.8,361.1,226.6,cylinder_20
Cy2image012.jpg,64.8,70.6,290.9,290.3,361.9,227.3,cylinder_20
Cy2image013.jpg,61.7,66.2,287.6,287.2,360.4,226.1,cylinder_20
Cy2image014.jpg,53.9,65.6,278.6,278,352.6,218.4,cylinder_20
Cy2image015.jpg,64,71.8,290.9,290.2,360.9,226.4,cylinder_20
Cy2image016.jpg,50,62.3,276.4,275.4,346.8,212.1,cylinder_20
Cy2image017.jpg,56.1,64.1,280.8,280.1,349.8,215,cylinder_20
Cy2image018.jpg,65.3,73.4,290.9,290.2,360.2,225.7,cylinder_20
Cy2image019.jpg,58.6,66.8,285.3,285.2,358,223.7,cylinder_20
Cy2image000.jpg,41.4,64,267.7,266.7,342.1,207.4,cylinder_20
Cy2image001.jpg,43,64.6,277.6,276.4,351.6,216.6,cylinder_20
Cy2image002.jpg,40.9,64.8,282.1,281,353.7,218.4,cylinder_20
Cy2image003.jpg,41.2,64.8,282,281,353.2,217.9,cylinder_20
Cy2image004.jpg,43.2,64.6,277.5,276.2,351.7,216.5,cylinder_20
Cy2image005.jpg,40.5,65.3,278.6,277.2,347.6,212.1,cylinder_20
Cy2image006.jpg,41.8,64.7,281.3,280,352.6,217.1,cylinder_20
Cy2image007.jpg,43.6,64.3,277,275.8,351.2,216,cylinder_20
Cy2image008.jpg,25.8,35.6,261.9,260.9,334.3,199.6,cylinder_20
Cy2image009.jpg,41,64.2,267.4,266.4,342.6,207.5,cylinder_20
Cy2image010.jpg,40.1,64.9,281.5,280.3,352.9,217.5,cylinder_20
Cy2image011.jpg,45,64.1,280.5,279,350.5,214.9,cylinder_20
Cy2image012.jpg,44,64.7,281.8,280.2,351.7,216.2,cylinder_20
Cy2image013.jpg,42.1,64.6,274.8,273.6,349.4,214.4,cylinder_20
Cy2image014.jpg,43.2,64.8,276,274.9,350.6,215.3,cylinder_20
Cy2image015.jpg,42.5,64.6,280.9,279.5,353,217.5,cylinder_20
Cy2image016.jpg,40.2,64.8,279.8,278.5,349.9,214.3,cylinder_20
Cy2image017.jpg,44,64.8,278.5,277,351.8,216.6,cylinder_20
Cy2image018.jpg,42.4,64.1,274,272.6,348.6,213.3,cylinder_20
Cy2image019.jpg,45.3,63.3,280.1,278.2,349.2,213.6,cylinder_20
