image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Peimage000.jpg,9.8,20.2,932.4,1202.9,pear
Peimage001.jpg,5.5,12.1,638.4,957.9,pear
Peimage002.jpg,6.9,11.6,829.5,1108.9,pear
Peimage003.jpg,6.0,9.5,640.9,956.4,pear
Peimage004.jpg,15.8,24.7,1087.2,1177.9,pear
Peimage005.jpg,14.1,74.3,780.4,947.4,pear
Peimage006.jpg,28.0,118.2,432.2,381.2,pear
Peimage007.jpg,24.3,39.5,556.3,563.0,pear
Peimage008.jpg,29.5,40.7,506.6,571.5,pear
Peimage009.jpg,14.3,78.0,734.5,930.1,pear
Peimage010.jpg,12.6,17.0,1198.7,1393.9,pear
Peimage011.jpg,3.3,6.8,639.0,950.2,pear
Peimage012.jpg,12.4,16.3,1150.9,1356.5,pear
Peimage013.jpg,7.1,18.1,1155.6,993.6,pear
Peimage014.jpg,2.6,10.2,687.4,562.8,pear
Peimage015.jpg,8.9,96.4,1110.4,1131.5,pear
Peimage016.jpg,8.6,41.0,1122.5,988.3,pear
Peimage017.jpg,9.5,34.6,1016.9,938.5,pear
Peimage018.jpg,1.4,25.6,966.8,842.0,pear
Peimage019.jpg,2.3,12.8,668.6,723.2,pear
Peimage020.jpg,9.0,51.0,460.4,426.8,pear
Peimage021.jpg,31.6,91.9,528.0,561.1,pear
Peimage022.jpg,26.5,58.0,447.5,432.3,pear
Peimage023.jpg,19.8,71.7,483.6,531.8,pear
Peimage024.jpg,47.8,58.0,432.9,408.1,pear
Peimage025.jpg,23.3,56.1,446.2,510.5,pear
Peimage026.jpg,25.8,88.4,461.7,457.7,pear
Peimage027.jpg,21.2,93.5,471.0,443.0,pear
Peimage028.jpg,37.0,66.0,456.9,460.1,pear
Peimage029.jpg,9.1,44.9,521.4,513.4,pear
Peimage030.jpg,18.6,85.8,569.3,569.6,pear
Peimage031.jpg,37.9,66.1,470.7,460.5,pear
Peimage032.jpg,12.5,74.7,471.3,435.4,pear
Peimage033.jpg,24.2,80.4,478.6,463.5,pear
Peimage034.jpg,17.6,59.3,514.2,501.0,pear
Peimage035.jpg,38.0,86.6,434.8,386.4,pear
Peimage036.jpg,15.3,72.1,404.9,397.8,pear
Peimage037.jpg,62.4,88.0,426.4,419.0,pear
Peimage038.jpg,31.3,73.0,400.0,374.4,pear
Peimage039.jpg,30.1,89.4,391.0,386.1,pear
Peimage040.jpg,58.6,47.9,445.0,411.9,pear
Peimage041.jpg,19.3,79.0,407.3,381.9,pear
Peimage042.jpg,58.2,85.9,382.4,413.9,pear
Peimage043.jpg,40.8,101.1,426.9,420.6,pear
Peimage044.jpg,64.9,102.0,407.4,437.2,pear
Peimage045.jpg,39.0,95.7,417.7,415.1,pear
Peimage046.jpg,50.0,93.2,406.0,398.1,pear
Peimage047.jpg,67.7,86.8,399.5,393.2,pear
Peimage048.jpg,45.7,100.8,412.0,402.4,pear
Peimage049.jpg,55.6,93.9,414.4,384.9,pear
